field1,field2,_GC_TYPE,_X,_Y
건대스타시티,서울특별시 광진구 아차산로 262 (자양동),정,127.07175867156256,37.53737444260615
봉천역,서울특별시 관악구 남부순환로 1730 (봉천동),정,126.94225063062059,37.48206660238192
건국대,서울특별시 광진구 능동로 117 (화양동),정,127.07113738270681,37.54160134119143
군자역,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,정,127.07893708575094,37.55691905829193
올림픽대교북단,서울특별시 광진구 광나루로 608 (구의동),정,127.09526771709605,37.541155614494166
광나루,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)",정,127.10604803869298,37.54738077028052
구의DT,서울특별시 광진구 광나루로 519 (구의동),정,127.0872118676775,37.5453046031328
광장,서울특별시 광진구 아차산로 537-17 (광장동),정,127.09922704912934,37.54363882966617
자양사거리,서울특별시 광진구 아차산로 355,정,127.08256557141173,37.53736807051665
아차산역,서울특별시 광진구 천호대로 676 (구의동),정,127.08993033173975,37.55059149880956
구의역,서울특별시 광진구 아차산로 373 (구의동),정,127.08403280179641,37.53701180461425
금천구청역,"서울특별시 금천구 시흥대로73길 67 (시흥동), 엠메디컬타워 1층",정,126.89574803799745,37.45594370321466
건대입구,서울특별시 광진구 능동로 107 (화양동),정,127.07073506037078,37.54069672284538
뚝섬유원지역,"서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차)",정,127.06816803631615,37.53339089993488
군자사거리,서울특별시 광진구 천호대로 549 (중곡동) 1층,정,127.0792259408759,37.55769885584664
건대후문,서울특별시 광진구 능동로 172 (화양동),정,127.07398549396395,37.54598411642047
자양이마트,서울특별시 광진구 아차산로 272 (자양동) 지하1층,정,127.07299633427655,37.538558797226074
금천시흥,서울특별시 금천구 시흥대로 164 (시흥동),정,126.9032314946406,37.448883511570955
중곡역,"서울특별시 광진구 능동로 400 (중곡동) 1층 108,109,110,111,112,118 6개호실",정,127.08445710520748,37.56505798653903
독산사거리,서울특별시 금천구 시흥대로 426 (독산동),정,126.89877251306143,37.47156976863786
건국클래식,서울특별시 광진구 능동로 90 (자양동) 더 클래식500,정,127.07092173672558,37.538362894311895
독산역,"서울특별시 금천구 가산디지털1로 16 (가산동), 107-2, 108, 109호",정,126.88808653262018,37.46761113148884
가산그레이트,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)",정,126.88751219672329,37.479513281836965
가산에스케이,"서울특별시 금천구 가산디지털1로 171 (가산동), SK V1센터 1층",정,126.88067842985451,37.480762090423795
가산브이타워,"서울특별시 금천구 가산디지털1로 128 (가산동), V-TOWER 1층",정,126.88369491948274,37.477236435374365
금천독산,서울특별시 금천구 두산로 70 (독산동),정,126.89562063695345,37.46896318594251
월계역,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)",정,127.05774499315073,37.629964130408
마리오아울렛,서울특별시 금천구 벚꽃로 266 마리오아울렛3관,정,126.88508132587896,37.47844606845624
가산디지털단지역,"서울특별시 금천구 벚꽃로 298 (가산동), 대륭포스트타워 6차 1층",정,126.88387144537336,37.48144037984902
가산디지털,"서울특별시 금천구 가산디지털1로 168 (가산동), 우림라이온스밸리 B동 1층",정,126.8826360292157,37.47996562208421
가산케이에스,"서울특별시 금천구 벚꽃로36길 30 (가산동), 가산KS타워 1층",정,126.88509864423595,37.48069414092392
노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)",정,127.06369220317066,37.654449492080985
가산현대아울렛,"서울특별시 금천구 디지털로10길 9 (가산동), 1층 일부",정,126.88905562768623,37.477619410586556
은행사거리,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)",정,127.07599239884144,37.650502323398776
상계초교사거리,서울특별시 노원구 노원로 449 (상계동),정,127.06644094755843,37.656667900521796
공릉역,서울특별시 노원구 동일로 1081 (공릉동),정,127.07227299842128,37.626380781173424
노원역,서울특별시 노원구 동일로 1413 (상계동) 1층,정,127.06001946709634,37.65476844377426
공릉DT,서울특별시 노원구 동일로 1015 (공릉동),정,127.07421805343364,37.62074902442419
노원마들역,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)",정,127.05710136261084,37.66097133141737
월계트레이더스,서울특별시 노원구 마들로3길 15 (월계동),정,127.0619800360433,37.62650976832689
중계역,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)",정,127.06218164773414,37.64816157812579
광운대,서울특별시 노원구 석계로 104 (월계동),정,127.06072875098747,37.62318818267443
도봉로DT,서울특별시 도봉구 도봉로 635 (쌍문동),정,127.04168820417102,37.6611576148357
태릉입구역DT,서울특별시 노원구 화랑로 469 (공릉동),정,127.07933562071041,37.61922878839218
쌍문도봉로,서울특별시 도봉구 도봉로 444 (창동),정,127.03311535121954,37.6453866754811
쌍문역,서울특별시 도봉구 도봉로 480 (창동),정,127.03488491914472,37.64835004931822
노원상계,서울특별시 노원구 동일로215길 2 (상계동),정,127.06094080057993,37.65155500679856
노량진동,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호",정,126.94656499570759,37.51311877639842
창동이마트,서울특별시 도봉구 노해로65길 4 (창동),정,127.04669060038056,37.65162188754489
월계이마트,서울특별시 노원구 마들로3길 15 (월계동),정,127.0619800360433,37.62650976832689
창동역,서울특별시 도봉구 마들로13길 61 (창동),정,127.04979627170346,37.65440719202595
방학역,"서울특별시 도봉구 도봉로 684 (방학동)101,102,113,114,115호",정,127.0435899800989,37.665347180160246
중앙대,서울특별시 동작구 흑석로 75-1 (흑석동),정,126.95812286335108,37.50696113148601
상도역,서울특별시 동작구 상도로37길 1 (상도1동),정,126.94844697692551,37.503244227334136
신대방삼거리역,서울특별시 동작구 상도로 102 (상도동),정,126.93177617582064,37.499941966545826
노량진역,서울특별시 동작구 노량진로 134 (노량진동),정,126.94088059341568,37.51336601639842
보라매공원R,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)",정,126.92350822354243,37.49209076124225
사당역,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)",정,126.98136218990844,37.47848248745418
이수자이,서울특별시 동작구 사당로 300 (사당동 이수자이),정,126.9807117690882,37.484525952144715
남성역,서울특별시 동작구 사당로 219 (사당동),정,126.97266155097202,37.48416220010919
숭실대,서울특별시 동작구 사당로 4 (상도동),정,126.95485442288698,37.495406033813296
합정폴리스R,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",정,126.91367787151397,37.55016600977867
숭실대입구역,서울특별시 동작구 상도로 354 (상도동),정,126.95272652333239,37.49687712392288
상암YTN,서울특별시 마포구 상암산로 76 (상암동),정,126.89231418309579,37.579194825503485
공덕,서울특별시 마포구 마포대로 130 (공덕동),정,126.95298872806181,37.545971413618
마포경찰서후문,서울특별시 마포구 마포대로 173-14 (아현동),정,126.95362671799037,37.55099938590908
마포용강동,서울특별시 마포구 토정로 295 (용강동),정,126.9422151106859,37.54119794420557
홍대입구역사거리R,서울특별시 마포구 양화로 125 (서교동),정,126.92031038051518,37.55475055927703
서강광흥창역,서울특별시 마포구 서강로 69 (창전동),정,126.93168986953803,37.54942483856554
서강대프라자,서울특별시 마포구 백범로 35 (신수동),정,126.93906275956118,37.550620129598435
마포염리,서울특별시 마포구 독막로 311 (염리동),정,126.9474812597412,37.543997055067884
상수역,서울특별시 마포구 독막로 88 (상수동),정,126.92322823575425,37.547516216683206
홍대공항철도역,서울특별시 마포구 양화로 178 (동교동),정,126.92521522389217,37.557509223620166
서강대흥역,서울특별시 마포구 백범로 89-5 (대흥동),정,126.94165571637699,37.54837454286938
신촌오거리,서울특별시 마포구 신촌로16길 10 (노고산동),정,126.93467654165455,37.555178054107195
상암디지털큐브,서울특별시 마포구 상암산로 34,정,126.88923967956173,37.57621016416892
서교동사거리,서울특별시 마포구 양화로 105 (서교동),정,126.91857724120798,37.55341345276858
상암사보이시티,서울특별시 마포구 월드컵북로54길 17 (상암동),정,126.88854781362139,37.58132417324288
상암MBC,서울특별시 마포구 성암로 267 (상암동),정,126.89098898124861,37.581124076851715
합정,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2",정,126.91206170529622,37.5500498116976
홍대삼거리,서울특별시 마포구 와우산로 64 (상수동),정,126.9232702425063,37.55021866116681
서강대,서울특별시 마포구 백범로 23 (신수동),정,126.9379870146338,37.55207069042649
동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",정,126.92002248580228,37.5568961519523
공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,정,126.95057816471038,37.54264235576935
마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)",정,126.94637305581405,37.54047299687928
마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,정,126.94896228401777,37.541332376360046
상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",정,126.89072344491058,37.57757412569396
애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)",정,126.95549616949997,37.55219690007409
합정메세나몰,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",정,126.91367787151397,37.55016600977867
홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",정,126.92361999508472,37.55720941063231
가재울뉴타운,"서울특별시 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이)",정,126.91418871778289,37.572256006711335
마포이마트,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,정,126.9533655232363,37.54242905331875
디지털미디어시티역,서울특별시 마포구 성암로 179 (상암동),정,126.89876367179066,37.57615067008219
망원역,서울특별시 마포구 월드컵로 74 (서교동),정,126.91072601214556,37.555779320398614
